Hk_1	Hk_2	Hk_3
33.48	11.34	0
33.6	0	0
25	0	0
25.675	5.3	0
29.2	0	0
28.13333	0	0
31.1	14.5	0
35	3.8	0
26.6	16.1	0
32.7	0	0
18.1	0	0
16	0	0
23.7	0	0
26.2	0	0
27.56	0	0
11.3	19.3	0
15.7	19.8	0
17.35	13.6	0
10.6	23.2	0
10.7	18.3	0
16.05	10.55	0
6.8	14.3	0
26.9	0	0
12.5	9.6	0
22.3	0	0
17.82	12.24	0
4	20.6	0
1	16.4	0
29	0	0
24	0	0
8.3	10.2	0
15.76	8.72	0
6.2	17	0
6.15	14.15	0
13.13333	10.03333	0
4.96	16.08	0
4.6	15.4	0
4.2	12	0
2.58	7.9	0
3.26	14.64	0
1.8	10.8	0
2.6	7.6	0
2.4	8.72	0
41.7	0	0
17.2	18.2	0
0	21.1	0
0	18.2	0
0	19.5	0
0	14.4	0
2.675	10.675	0
25.9	0	0
22.18	2.54	0
20.2	0	0
18.1	0	0
15.4	12.7	0
28	0	0
25.33333	4.766667	0
37.5	0	0
36	9.6	0
31.55	3.483333	0
24.4	4.8	0
25.4	0	0
22.7	12.9	0
24.4	3.1	0
17.6	3.5	0
15.6	9.6	0
2.3	13	0
9.625	6.05	0
3	11.2	0
3.9	5.5	0
3.1	7.3	0
0	13.2	0
3.414198	16.45	0
5.6	9.966666	0
1.425	12.3	0
0	13.3	0
0	18	0
0	15.3	0
25.1	5.8	0
28.46667	6.766667	0
36.2	0	0
31	0	0
36.2	0	0
22.75	2.85	0
26.4	1	0
28.7	0	0
30.2	0	0
32.9	3.52	0
32.125	1.25	0
30.85	6.9	1.75
11.6	0	0
21.6	0	0
8.7	0	0
33.9	0	0
26.15	3.65	0
32.4	0	0
31.24	1.36	0
24.525	6	0
4.9	24	0
27.3	10.45	0
28.975	7.7	0
39.1	0	0
24.9	0	0
31.5	0	0
32	8.55	0
32.7	10.9	0
24.075	7.275	0
25	13	0
18.4	18.2	0
38.4	0	0
22.3	0	0
26.08	4.78	0
28.18	3.04	0
29.5	0	0
38	0	0
31.5	11.5	0
30.2	3.4	0
29	0	0
27.6	0	0
23.8	4.2	0
33.2	8.4	0
31.73333	0	0
26.4	0	0
32.2	15.2	0
28	16.8	0
39.6	16	0
29.1	0	0
34.5	0	0
37.4	6.6	0
48.3	0	0
30.2	0	0
25.4	0	0
36.9	0	0
32.5	0	0
29.14	0	0
31.5	0	0
37	0	0
28.8	9.65	0
27.5	0	0
19	18.2	0
27.4	0	0
16.7	16.5	0
28.6	0	0
29	7.6	0
30.1	0	0
35.4	0	0
20.3	0	0
19	0	0
20.63333	0	0
30.4	0	0
28.26667	2.55	0
20.1	0	0
32.1	0	0
31.7	0	0
23.5	0	0
17.6	12.6	0
34.1	0	0
27.7	0	0
25.3	0	0
37.3	0	0
21	0	0
22.6	0	0
38.3	9.9	0
20	0	0
28.3	10.5	0
30.2	5.4	0
48.1	0	0
26.3	11.1	0
38.4	12.2	0
40.5	8	0
33.2	12.7	0
25.7	18.6	0
25.4	13.9	0
27.4	17.2	0
21.3	10.9	0
29.5	0	0
16.6	0	0
9.5	0	0
28.2	0	0
22.5	0	0
30.38	4.58	0
14.7	0	0
38.6	0	0
32.56	6.16	0
24.4	10.2	0
32.5	2	0
40.1	1.1	0
13.4	0	0
25.7	11.7	0
17.9	6.3	0
21	17.5	0
23.8	5.766667	0
28.9	29.3	0
14	0	0
33.2	0	0
29.5	0	0
30.26	6.753334	0
31.7	6.8	0
31.8	2.825	0
20.4	0	0
14.7	0	0
23.84	12.62	0
18.4	7.3	0
29.35	7.125	0
27.63333	9.3	0
12	0	0
43.7	0	0
27.1	14.7	0
19.2	0	0
27.3	0	0
33	0	0
9.7	39.8	0
29.4	0	0
37.3	0	0
30.9	0	0
30.1	0	0
21.66667	8.983334	0
29.7	0	0
19.1	0	0
26.1	0	0
23.21667	6.016667	0
37.83333	11.31667	0
30.4	21.4	0
45.8	0	0
34.1	12.42	0
40.38	0	0
32.6	12.5	0
23.7	15.4	0
33	6.6	0
51.1	1.8	0
11.68333	7.2	0
32.9	0	0
32.2	1.2	0
29	0	0
36.2	0	0
29.5	0	0
29.4	0	0
22.2	12.1	0
33.15	3.025	0
45.1	0	0
17.2	0	0
30.1	7.1	0
17.4	9.8	0
32.6	18	0
32.6	18.4	0
34.2	0	0
38.3	18.6	0
24.9	5.72	0
39.2	0	0
45.4	0	0
38.7	18.6	0
22.2	0	0
22.8	15.6	0
24.2	10.9	0
11.7	29.9	0
22.4	14.5	0
24.7	13.5	0
10.6	15.5	0
10.5	20.4	0
11.7	0	0
28.1	0	0
30.2	19.5	0
25.9	20.6	0
23.9	14.6	0
32.8	17.8	0
18.2	18.8	0
33.3	19.7	0
34.1	0	0
27.7	14.1	0
40.7	0.6	0
8	1	0
18.4	21.8	0
17.9	16.8	0
17.6	0	0
16.8	14.6	0
30.3	5.6	0
30.8	14.5	0
28.175	5.075	0
20.6	0	0
24.1	0.7	0
27.3	19.6	0
8.6	10.2	0
29.3	1.8	0
32.2	3.8	0
16.6	8.2	0
31.4	13	0
35.9	0	0
28.4	12.4	0
32	0	0
27.8	0	0
32.3	14.3	0
26.18	11.48	0
29.1	11.8	0
17.4	11.2	0
28.1	13.8	0
28.8	0	0
35.7	0	0
32.08	4.24	0
16.1	17.3	1.6
12.8	14	0
10.27619	12.87619	0.5666667
4.8	22	1.8
7.4	25.1	0
4.7	29.5	0
6.3	31.2	0
8.8	30.3	0
3.6	30.2	0
5.6	28.8	0
20.3	0	0
23.8	0	0
26.7	8.55	0
22.8	14.7	0
21.1	0	0
25.325	4.875	0
30	0	0
26.01667	13.46667	0
25.1	30.8	0
16.8	17.9	0
17.58	23.14	0
19.7	18.1	0
21.3	28	0
24.8	23.76	0
21.1	0	0
27.3	28.9	0
27.4	34.8	0
20.2	17.5	0
23.7	16.7	0
13.4	0	0
19.5	0	0
16.5	15.1	0
6.3	11	0
13.6	0	0
5.2	7.9	0
9.3	0	0
3.8	20.4	0
2.2	10.6	0
16.3	3.7	0
29.1	0	0
30.6	2.4	0
24.6	20.3	0
31.2	12.5	0
42.6	0	0
36.5	19.7	0
9	21	0
25.8	13.8	0
21.6	12.7	0
22.9	12.1	0
29.8	18.6	0
26.2	18.5	0
25.48611	17.95278	0.1708333
19.3	13.9	0
13.5	22	0
13.2	25.2	0
19.2	24.3	0
8.6	18.2	3.8
12.9	21.4	0
25	34	0
22.2	14.6	0
18.5	8.9	0
27.2	14	0
38.2	0	0
17.4	10.4	0
7.2	16.8	0
13.8	14	0
5	17.4	0
8.557143	9.257143	0
7.4	13.4	0
1.1	12.8	0
0	14	0
3.8	14.5	0
0	14.8	0
1.8	9	0
12.7	0	0
27.65	7.983333	0
17.1	0	0
12.7	18.6	0
21.1	0	0
33.6	13.28	0
49.5	0	0
27.3	16.5	0
22.7	25.6	0
46.1	0	0
22.4	24.3	0
25.265	18.3	0
20.76	15.4	0
34	26.2	0
24.7	18.9	0
25.2	23.4	0
25.2	10	0
35.1	0	0
33.7	0	0
26.2	0	0
26.4	10.2	0
26.1	31.6	0
31	22	0
30.2	9.1	0
49	0	0
27.8	21.8	0
35	0	0
27	0	0
34.2	0	0
13.2	10.8	0
28.8	3.2	0
10.8	17.7	0
2.9	9.3	0
8.3	22	0
2.6	16.7	0
1	14.8	0
4.4	24.3	0
6.6	14	0
7.5	19.2	0
6.4	14.6	0
4.1	12.6	0
4.7625	11.9875	0
6.4	18.2	0
5.166667	17.58333	0
6	14	0
3.3	11.3	0
2.1	18.6	0
1.9	13.2	0
1.2	16.7	0
2.2	21.6	0
0	19.4	0
0	13.525	0
1.53	12.11667	0
0	13.5	0
8.9	0	0
13	0	0
3.25	13.8	0
0	15.9	0
4.333333	13.9	0
0	8.8	0
10.7	0	0
9	0	0
10	21.1	0
23.325	9.925	0
27.6	0	0
17.5	0	0
19.8	7.5	0
15.6	3.7	0
11.7	5.3	0
15.9	19.7	0
30.4	31.4	3.6
54.3	9.2	0
35.5	0	0
60.1	0	0
37.3	0.8	0
47.4	0	0
31.7	0	0
15.1	0	0
52	0	0
47.2	5.8	0
39.8	3.2	0
48.8	0	0
50.8	14.7	0
66.3	0	0
18.7	16.1	0
28.6	15.4	0
35.7	15.4	0
13.8	0	0
28.2	26	0
48.6	4.8	0
52.4	3	0
53	0	0
47	0	0
6.6	11.4	0
60	1.3	0
27.8	31.4	0
57	9.3	0
20	0.6	0
36.425	5.875	0
38.7	22.9	0
34.7	17.7	0
44.2	0	0
43.1	0	0
39.2	0	0
53.7	0	0
58.4	3.6	0
40.5	0	0
49.4	0	0
56.6	0	0
44.6	8	0
28.8	0	0
37.9	0	0
42.1	0	0
40.4	0	0
40.2	0	0
38.6	0.8	0
39.2	2.2	0
36.1	0	0
22.6	0	0
28	0	0
38.4	0	0
20.2	0	0
22.8	0	0
54.5	0	0
43.7	0	0
23.4	0	0
32.2	0	0
16.5	22.9	0
29.6	0	0
53.4	0	0
16.2	27.2	0
14.9	21.2	0
34.4	0	0
39.6	0	0
31.2	0	0
43.8	0	0
34.18333	9.383333	1.3
39.3	0	0
30.2	10.6	0
28.2	0	0
39	0	0
30.8	0	0
48.6	0	0
32.2	0	0
20.3	17.6	0
46.2	0	0
18	0	0
56.1	0	0
30	0	0
12.8	0	0
50.6	0	0
49.6	0	0
48.2	0	0
23.9	0	0
19.5	0	0
25.3	19.6	0
26.86	3.72	0
10.1	18.6	0
40.8	0	0
17.8	28	0
29.6	7	0
16	15.6	0
33.1	0	0
27.34	14.4	0
27.8	33.8	0
29.6	0	0
23.1	5.475	0
28.9	0	0
27.4	25	1.4
33.6	0	0
6.7	19.8	0
20.2	5.55	0
17.5	0	0
10	2.4	0
41.4	3	0
35.4	17.8	0
36.2	13.8	0
38	29.8	0
45.6	20.1	0
13	0	0
14.4	0	0
26.8	11.4	0
30.725	8.175	0
32.5	0	0
30	33.2	0
33.7	0	0
21.4	0	0
26.6	16	0
24.2	0	0
35.8	5.3	0
17.8	16.8	0
42.3	9.5	0
39.8	18.4	0
39.3	6.1	0
46.5	0	0
14.7	24.6	0
14.4	32.8	0
43.9	8.2	0
26.2	0	0
21.1	22.5	0
15.3	14.3	0
50.9	3.7	0
30.3	7	0
22.8	8.8	0
58.3	0	0
16.4	0	0
16.29625	3.21875	3.59375
54.6	0	0
35.7	13.3	0
14.57778	19.77778	0.3
15.69667	4.22	3.86
21.9	0	0
4.033333	0	0
17	0	0
10.7	0	0
19.3	38.9	0
24.9	12.8	0
32.2	21	0
16.3	12.9	0
12.7	17.3	0
11.1	9.2	0
7.55	17.6	0
0	4	0
12.1	0	0
7	0	0
6.04	19.8	0
11.7	0	0
6.6	0	0
40.3	21.5	0
15.7	0	0
