Z3_1	Z3_2	Z3_3
442.665	482.0042	627.3005
453.9114	487.7118	627.3003
441.4023	444.0289	627.3034
448.942	481.1078	627.3031
445.8074	475.6733	627.3361
426.742	461.6907	627.364
446.2019	490.6766	627.3502
432.503	476.1577	627.376
444.6355	477.8201	627.3524
445.705	474.0305	627.3943
432.3282	441.3998	627.2997
460.8623	493.1056	627.2999
526.5092	586.9432	648.7836
532.5388	587.9735	653.4817
527.3623	586.1065	648.9975
457.5257	508.8535	627.3
440.7592	483.8171	627.3232
462.6151	520.0821	627.2595
467.7195	516.9677	627.0666
457.3088	503.2332	627.2291
432.8719	476.3497	627.3026
442.3786	469.2091	627.3015
522.5124	588.875	651.6382
523.4677	587.1793	649.5267
525.0548	586.3223	648.5426
522.2603	582.4463	643.9314
521.1783	585.5655	647.537
585.3007	598.0125	647.1383
523.3817	583.587	645.1727
527.3936	588.5033	651.0583
521.3725	587.0293	649.1354
591.3525	627.1705	654.4425
574.3554	594.157	658.5629
522.75	594.3483	658.8536
517.4503	594.2656	658.8012
521.7457	594.5091	658.8472
521.248	582.1342	643.4506
520.0435	586.0289	647.9875
521.2147	583.7717	645.2097
524.8093	588.48	651.0964
528.1183	586.6917	648.8497
524.6016	587.9318	650.0145
530.3049	588.9052	651.413
523.6522	585.8206	647.5245
525.4551	584.6929	646.0172
417.4294	451.5241	627.3049
520.2869	582.5466	643.6509
500.6449	529.1907	651.1074
423.0871	459.9843	627.2892
419.8627	459.0291	627.2887
419.6486	463.2006	627.2922
530.4828	562.6237	659.5234
438.5679	493.435	626.0491
540.1973	590.0896	652.7136
558.9429	587.0855	648.7644
589.7725	621.8752	652.1154
559.3813	587.0678	648.7447
524.2841	584.052	645.0388
525.173	579.2473	639.4153
591.4022	608.2094	654.1296
432.4902	476.2638	627.368
426.1399	468.5743	627.3461
442.3841	468.8477	627.3597
593.1923	650.1115	656.5546
429.9742	469.6967	627.2991
429.5692	469.7783	627.2996
424.4552	467.4735	627.2932
427.7661	469.9909	627.3056
437.3261	464.9143	627.3049
423.3839	463.7896	627.3057
422.8136	461.4392	627.3052
418.7056	456.128	627.2916
435.9808	478.8984	627.2946
430.5005	473.6083	627.2911
434.1775	466.8476	627.3041
464.7459	468.5822	627.3035
427.4036	465.8183	627.3032
469.2925	511.708	627.304
490.598	527.3447	627.0367
470.6889	532.1824	626.4879
455.1363	495.0649	629.1272
425.6218	467.1424	627.3044
429.1226	487.0564	627.3038
426.9552	468.0811	627.3029
423.484	461.666	627.3054
417.0339	455.8339	627.3041
427.0129	465.0523	627.3054
511.2169	574.2344	655.5648
478.876	529.2368	648.0416
431.0902	475.6345	627.2999
447.6746	489.7569	627.3022
459.3708	504.4328	627.2993
443.7918	483.6826	627.3015
501.0505	546.0208	657.0477
420.316	454.5482	627.2958
415.8413	451.8567	627.2977
441.8414	479.6346	627.2942
423.7908	466.7043	627.296
479.0936	553.0515	657.4001
436.3382	488.587	627.3068
433.7282	473.7135	627.3061
463.2511	518.1766	627.3069
434.2922	475.0317	627.3066
430.131	468.0727	627.306
430.4153	485.8881	627.3066
479.9231	539.1879	656.7506
420.5734	459.6566	627.3021
417.1655	452.8621	627.3009
417.8674	457.2971	627.3029
501.8	575.8854	657.7365
506.1385	560.3123	657.8688
415.411	457.7325	627.2972
417.1219	451.4579	627.2996
423.4194	460.8584	627.2955
426.6395	439.9805	627.2984
444.5867	493.4257	627.3046
450.9052	496.1352	627.3066
446.8314	489.616	627.3039
444.4704	486.1569	627.305
454.8938	487.0847	627.3018
449.6083	491.6762	627.2953
491.8164	503.9848	627.2978
436.3982	478.0408	627.2816
435.6025	506.0721	628.7877
439.5137	501.537	627.9777
442.1254	481.1727	627.3163
434.6553	477.0779	627.3013
427.0125	472.5656	627.3325
429.4417	472.4157	627.313
432.7351	473.1028	627.353
466.4222	512.4005	625.403
513.468	531.4572	625.3272
456.2197	508.7908	625.4806
460.4704	504.2137	625.8625
447.8	496.7209	625.715
501.5683	531.3086	626.0777
506.5832	534.8825	625.6028
455.3093	496.9767	626.4126
470.7487	494.1353	626.3189
