H_1	H_2	H_3
109.6	7	0
53.6	43.5	0
69.8	0	0
63.28	23.44	0
55.4	61.8	0
75.4	0	0
54.875	16.575	0
56.7	0	0
52.4	29.2	1.4
74.7	0	0
45.4	34.8	0
48.1	9.425	0
49.1	0	0
12.3	3.4	0
57.8	4.6	0
49.4	33.6	0
43.4	22.2	0
54.4	58.7	0
67.9	29.8	0
36.6	0	0
35.7	0	0
42.8	20.6	0
47.4	13.475	0
49.8	0	0
46.8	39	0
47.7	0	0
42.9	0	0
54	28	0
42.8	0	0
45.1	5.3	0
26.4	17.4	0
50.7	10.3	0
44.6	20.8	0
48.5	6.7	0
60.7	0	0
30	30	0
19.6	47.7	0
62.6	8.2	0
39.5	0	0
56.1	28.7	0
23.3	17.9	0
65.6	7.3	0
37.8	26.20024	0
36	9.4	0
77	0	0
44.9	0	0
31.43813	6.28125	5.09375
93.9	0	0
91.7	14.6	0
33.44444	26.9	0.3777778
40.52333	7.68	5.46
43.5	0	0
6.333333	0	0
30.3	0	0
13	0	0
25	54.9	0
65.4	15.7	0
59.8	46.8	0
54.8	59.1	0
49	42	0
42.4	30.3	0
9.425	32.525	0
0	25.6	0
19	0	0
17.4	0	0
7.54	33.76	0
24.06667	0	0
43	0	0
49.1	25.2	0
18.8	0	0
