Z_1	Z_2	Z_3
439.5	472	0
0	0	0
443.35	472.5	0
446.25	475.55	0
443.5	473.5	0
0	0	0
438.9	464.5	0
438.2	464.5	0
440.15	463.5	0
0	458	0
568	0	0
0	632.8	0
479	576.6	0
0	452.5	0
0	465.5	0
0	451.85	0
444.85	474.5	0
589.1	0	0
460.3	0	0
543.5	0	0
461.45	0	0
535	0	0
450.15	480	0
464.2	0	0
436.95	0	0
551	0	0
530	0	0
0	0	0
454.55	0	0
452.25	0	0
467.6	0	0
432.7	0	0
548.75	0	0
438.9	0	0
551	0	0
547	0	0
433.5	481.25	0
556.9	0	0
541.3	0	0
450.5	0	0
448	0	0
448.6	0	0
549.1	0	0
433.7	477.7	0
438.1602	479.9221	627.2862
430.6	466	0
434.5	473.7	0
447.55	0	0
447.1	0	0
549.3	0	0
528	0	0
444.65	0	0
450.6	0	0
443.2	481.5	0
444.2	480.7	0
448.65	0	0
446.9	0	0
435.2	467.3	0
439.3	477.65	0
552.85	0	0
441.3	0	0
437.4	471.6	0
436.3	471.2	0
436.9	470.85	0
437.45	0	0
482.05	0	0
439.5	470.05	0
457.5	0	0
455.05	0	0
439.15	0	0
456.1	0	0
454.75	0	0
0	0	0
449.8	0	0
454.6	0	0
0	0	0
440	0	0
440.8	477.8	0
451.05	0	0
445.5	476.6	0
444.6	0	0
436.7	473.4	0
449.1	0	0
454.8	0	0
441.7	0	0
448.45	0	0
566.05	0	0
446.1	0	0
566.7	0	0
450.15	0	0
446.15	0	0
448.8	0	0
453.3	0	0
443.5	481.5	0
452.1	0	0
459.4	0	0
550.55	0	0
457.25	0	0
450.95	0	0
464	0	0
433.5	476.5	0
461.7	0	0
430.8	467.15	0
486.9	524.4	0
464.95	0	0
467	511.65	0
428.7	472.1	0
439.55	482.75	0
447.15	497.65	0
428.7	476.2	0
426.65	470.5	0
425.45	468.25	0
428.65	467.25	0
447.65	0	0
440.1	0	0
443.25	0	0
453.3	0	0
451.9	0	0
573.55	0	0
447.7	0	0
461.15	0	0
562.15	0	0
434.25	478.55	0
433.35	465.55	0
474.7	529.5	0
440.15	0	0
441.7	482.65	0
432.6	471.2	0
0	0	0
537.95	0	0
468.35	538.1	0
483.55	0	0
446.5	0	0
444.3	0	0
459.0085	478.0058	627.2827
448.2	497.35	0
545.05	0	0
436.7	0	0
448.7	0	0
464.209	533.6357	631.5269
438.35	479.85	0
552.85	0	0
543.1	0	0
431.2	0	0
447.15	0	0
449.3	495.45	0
446.8	0	0
487.75	0	0
433.15	0	0
446.1	507.9	0
448.9	0	0
