Well_name	X_coord	Y_coord
5170	548517.598	5003439.687
52	554992	5003655.99
52-1	555127.29	5003631.77
52-2	555030.96	5003547
52-3	555144.5	5003537
523	546808.17	5000130.33
53	555038	5003258.83
53-1	555143.37	5003219
53-2	555036.66	5003123.5
53-3	555126.4	5003104.83
539	546567.7	4999857.49
54	555527	5004057.71
54-1	555656.6	5004071
54-1C	555392.69	5004013.27
54-2	555515.26	5003893.39
54-3	555674	5003898.57
54-3C	555384.48	5003897.63
541	547063.96	4999857.49
55	555240.7	5003440.82
55-2	555233	5003344
55-3	555378	5003329.3
550	545047	4999553
555	546296.6	4999580.39
56	555245.6	5002974.01
56-1	555380	5002968
56-2	555233	5002841
56-3	555378	5002840
57	555119.6	5003872.58
57-1	555345	5003917
57-2	555135	5003776.76
57-3	555235	5003770.39
57-4	555010	5003774.64
58	554730.3	5003829.65
58-1S	554810	5003833
59A	554268	5003418.6
6	550233.03	5002609.83
6-1	550354.38	5002593.27
60	553493.7	5003723
60-1	553611.5	5003715.73
60-2	553491	5003567
60-3	553596.6	5003599.56
60-4	553356.33	5003613.1
600	550388	5003882
600-2H	550471	5003965
601	550725	5003975.84
602	550957	5003959.79
602-2	550940	5003755
602-2H	551067	5003948
602-3H	550813	5003959
603	551231	5003939.83
603-2	551226.09	5003820.59
603-2H	551292	5004001
604	551491	5003935.86
604-3	551630	5003817.98
604-3H	551534	5003911
605	551740	5003935.9
605-3H	551759	5003821
608	555769.1	5004187.56
608-2	555806.37	5004031.23
608-3	555911	5004134
608-4	555648	5004185
609	549990	5003710.01
609-3	550096	5003612
61	553750	5003919
610	550204	5003720.88
610-2H	550321	5003697
6100	553749.21	5002225.11
6100-1	553873.86	5002222.42
6100-2H	553744	5002074
6101	553987.71	5002225.59
6101-1	554115	5002217
6101-1-2S	554116	5002218
6102	554249.71	5002225.55
6102-1	554372.16	5002216.16
6102-2	554244.36	5002130.15
6102-3	554377.7	5002088.17
6102-3H	554181	5002042
6103	554500.21	5002229.56
6103-1	554616	5002216
6103-2	554498.51	5002089.74
6103-3	554628	5002083.94
6104	554768.66	5002211.21
