Sw_1	Sw_2	Sw_3
0.246	0.4383889	0
0.3674016	0	0
0.3442889	0.9978353	0.9998559
0.3454286	0	0
0.2666667	0.2872857	0
0.15	0	0
0.1560643	0.3050538	0
0.1523035	0	0
0.1390556	0.13	0
0.2287582	0.3006757	0
0.1628488	0	0
0.1	0.24	0
0.1655872	0.245008	1
0.1900432	0.2722684	0
0.1572426	0.2044304	0
0.1332895	0.2622951	0
0.1315721	0.3545454	0
0.1823016	1	0
0.1674387	0	0
0.1705935	0	0
0.1990076	0	0
0.1599848	0.38	0
0.1752107	0.3458904	0
0.14	0.255	0
0.1501987	0.16	0
0.17	0	0
0.15	0.16	0
0.2010286	0	0
0.1972519	0	0
0.183017	0	0
0.1525758	0.1458333	0
0.1719444	1	0
0.3942593	0.2655128	0
0.212069	0.15	0
0.2645217	0.2560969	0
0.19	0.2575449	0
0.31	0.295	0
0.17	0.2107487	0
0.3246364	0.2642696	0
0.2201449	0.2856034	0
0.26	0.18	0
0.353	0.2749048	0
1	1	0
0.22	0.2432353	0
0.2374099	0.2136351	0
0.21	0.19	0
0.2419697	0.179115	0
0.2552	0.2310052	0
0.27	0.2	0
0.273	0.3112096	0
0.2553191	0.3087779	0
0	0.2629897	0
0.3532433	0.2313571	0.9577875
0.319643	0.2885596	0.9608957
0	0.28	0
0.302699	0	0
0.2440154	0	0
0.3616433	0.2448611	0
0	0.3216352	0
0.3790719	1	0
0	0.3551136	0
1	0	0
0.4245882	0	0
0.2554688	0.23	0
0.2427814	0.2637548	0
0.2937786	0	0
0.1541714	0	0
0.186101	0.3948148	0
0.1995513	0.3851667	0
0.2562308	0.337283	0
0.2347333	1	0
0.3623571	1	1
0.2321731	1	0
0.1797681	0	0
0.2089397	0	0
0.1597076	1	0
0.2904225	0	0
0.3022801	0	0
0.3468212	0	0
0.2001982	0	0
0.2029661	0.2	0
0.2031658	0.245	0
0.2072545	0	0
0.232376	1	0
0.166546	0	0
0.43804	0.4925617	0
0.2587546	1	0
0.3298359	1	0
0.382971	0	0
0.3896872	1	0
0.182428	1	0
0.2128405	1	0
0.2293962	0	0
0.2403254	0	0
1	1	0
0.1718	1	0
0.201223	0.1933333	0
0.3328681	1	0
0.3226	1	0
0.2794906	0.9795958	1
0.3121818	1	0
0.2806755	1	0
0.2028796	0	0
0.2253355	0	0
0.1984777	0	0
0.2146304	0	0
0.342847	1	0
0.1876126	0	0
0.2279474	0	0
0.1923147	0	0
0.3787654	1	0
0.1937795	0	0
0.3029324	0	0
0.2484025	0	0
0.309	0	0
0.2287994	0	0
0.2124528	1	0
0.2035106	1	0
0.3371985	0	0
0.3940594	0	0
0.4772727	0	0
0.3129167	0	0
0.2836458	0	0
0.3598684	0	0
0.4119149	0	0
0.3329214	0	0
0.3254206	0	0
0.2978571	0	0
0.3550303	0.2791703	0
0.3026619	0	0
0.2766829	0	0
0.2626543	0.2899225	0
0.3181681	0.34593	0
0.312	0	0
0.2850413	0	0
0.3735417	0	0
0.2550603	0	0
0.2869559	0.9867983	0.9997846
0.3222392	0	0
0.2187417	0.1902174	0
0.3310638	0	0
0.296519	0	0
0.3272631	0	0
0.28675	0	0
0.3906667	0	0
0.2246305	0.3336364	0
0.2778745	0	0
0.1950909	0	0
0.2518084	0	0
0.1987879	0	0
0.1957627	0	0
0.2560146	0	0
0.257605	0	0
0.1904149	0	0
0.3138494	0	0
0.5412051	0	0
0.2753617	0.39	0
0.3489984	1	0.9999865
0.3672606	1	0
0.2678567	0	0
0.2901754	1	0
0.255534	1	0
0.3167987	1	0
0.2877391	0	0
1	1	0
0.2851163	1	0
0.33757	0	0
0.3020217	0.7537457	0.9843161
0.3114872	0	0
0.2917857	1	1
0.3896805	0	0
0.3933962	1	0
0.2956095	0.8202731	1
0.2989143	0	0
0.4416418	1	0
0.1571256	1	0
0.2097175	0.2246341	0
0.1974033	1	0
0.2614894	1	0
0.3160745	1	0
0.3310769	0	0
0.4213889	0	0
0.2522472	0.32	0
1	0.5012196	0
0.2370462	0	0
0.2039333	0.21	0
0.1804492	0	0
0.3170561	0	0
0.2883511	1	0
0.3690732	0	0
0.1345531	1	0
0.2046067	0.22	0
0.2996629	1	0
0.1871859	0.18	0
0.1853663	1	0
0.198383	0	0
0.2500062	0.4569523	0
0.2940146	0.3948333	0
0.2296009	1	0
0.319144	0	0
0.2602326	1	0
0.171634	0.2708	0
0.1713747	1	0
0.1665478	1	0
0.1950877	0.2070455	0
0.1415809	0	0
0.4158095	0	0
0.3151443	0.9999868	1
0.3533458	0	0
0.357442	1	0
0.260277	0.6951678	0.9813765
0.2660989	1	1
0.2204121	0	0
0.3609296	0	0
0.4261959	0	0
0.3384669	0	0
0.1440122	0.3552481	0
0.3534473	1	0
0.2514073	1	0
0.3702032	1	0
0.3569071	1	0
0.3107394	1	0
0.4610638	0.3473496	0
0	1	0
0.4143676	0	0
0.3185	0	0
0.4657297	0.454563	0
0.2607179	0	0
0.3077143	0	0
0.2273958	1	0
0.2722389	0	0
