K_1	K_2	K_3
796.3893	874.1367	0
2025.61	1190.297	0
127.4207	0	0
209.8353	0	0
547.454	401.9563	0
324.62	599.1935	0
0	239.9677	0
235.8889	0	0
1011.244	336.5932	0
156.1317	158.5735	0
1269.256	0	0
570.512	0	0
321.899	0	0
691.3566	414.4221	494.5241
609.7998	393.4664	482.5825
589.8997	281.7692	0
569.462	1080.058	0
935.8546	268	0
1045.205	310.4203	0
156.6593	288.3784	0
189.263	203.8548	0
206.6666	0	0
1817.979	418.0403	0
693.7897	0	0
505.1698	0	0
886.2695	0	0
1393.12	0	0
210.5725	0	0
1720.218	621.615	0
1046.243	0	0
1159.738	0	0
1073.75	846.2222	0
1006.493	650.3876	0
530.7813	0	0
222.448	0	0
483.8421	515.2131	0
4486.73	0	0
5597.693	0	0
289.071	841.1514	0
226.9257	247	0
337.4699	652.1056	0
149.578	0	0
613.916	0	0
334.2	0	0
574.7933	0	0
2072.874	0	0
4305.38	0	0
699.9153	169.0265	0
360.1465	79.83839	0
429.402	205.0273	0
262.5795	109.7127	0
162.0748	143.3716	0
183.1158	143.5542	0
2321.157	166.9081	0
199.3048	0	0
1883.336	167.5417	0
537.1973	0	0
857.6782	183.4597	0
551.6148	345.7003	0
557.7296	449.3476	0
393	0	0
888.6	0	0
1137.527	524.6596	0
664.2796	555.2286	0
956.4514	675.0554	0
2842.033	5561.915	0
1164.025	272.5371	0
1034.508	535.6474	0
1594.888	2821.107	0
606.6218	929.2078	0
761.6306	1002.779	0
574.7077	495.176	0
726.4073	1825.414	0
2486.436	2144.068	0
819.4976	1320.534	0
2559.173	0	0
1788.273	363.2747	0
0	1997.035	0
0	1734.347	0
0	1046.513	0
0	366.75	0
265.1585	443.4653	0
485.4444	0	0
600.7576	152.9335	0
698.069	0	0
97.62984	0	0
634.5961	319.0263	0
527.7214	0	0
3978.618	190.8978	0
1220.421	0	0
4535.422	243	0
626.7078	338.0723	0
2692.115	430.3624	0
1070.283	0	0
527.6444	369.6959	0
427.9539	510.6013	0
754.4542	832.7679	0
1437.031	629.8662	0
1116.429	680.6898	0
1037.864	699.9863	0
949.2064	715.6226	0
