Mp_1	Mp_2	Mp_3
0.3459892	0.3386725	0.3384336
0.335	0	0
0.2885461	0.3086747	0.3325864
0.3230077	0	0
0.3171913	0.299394	0
0.3368182	0.3211505	0
0.3522554	0.3709244	0
0.3524949	0	0
0.3532178	0	0
0.3524239	0	0
0	0.3046081	0
0.35356	0	0
0.3590384	0	0
0.3517334	0	0
0.3495827	0	0
0.3275143	0	0
0.3285552	0	0
0.3290567	0	0
0.3284402	0	0
0.313431	0	0
0.3153811	0	0
0.3054797	0	0
0.2471022	0	0
0.3068689	0	0
0.3458718	0	0
0.3441069	0	0
0.3242766	0	0
0.3551647	0	0
0.3556114	0	0
0.3459449	0	0
0.3262787	0	0
0.3735443	0.3699582	0
0.3391259	0	0
0.2975559	0	0
0.3590083	0.3455555	0
0.3332712	0.3293549	0.06
0.3268413	0.3157143	0
0.3296876	0	0
0.3589736	0.34	0
0.3562654	0	0
0.3235463	0	0
0.3353629	0	0
0.3236505	0	0
0.3281105	0	0
0.3436695	0	0
0.3360424	0	0
0.3469788	0.3382803	0
0.3280841	0.3253571	0
0.3279512	0	0
0.3454211	0	0
0.370427	0.3443119	0
0.3677213	0.3428445	0
0.33	0	0
0.3443049	0.35	0
0.3400244	0	0
0.3373118	0.33	0
0.3535593	0.3556944	0
0.3463636	0.3428	0
0.365641	0.3552348	0
0.3955	0.3718991	0
0.3380385	0.3290093	0
0.3119734	0	0
0.3513667	0.3469445	0
0.3300673	0.3314861	0
0.3411027	0.35	0
0.3181649	0.3227451	0.3564
0.3547368	0.3548837	0
0.3764458	0.3786932	0
0.352643	0.3564475	0
0.3101227	0.3163918	0
0.36	0.3671598	0
0.3539048	0.349396	0
0.354918	0.363	0
0.3093918	0	0
0.313302	0.3517703	0
0.3638663	0.3629412	0
0.3352941	0.3380145	0
0.3388509	0.3487162	0
0.3440928	0	0
0.3215333	0	0
0.39	0.3007477	0.39
0.36	0.2582514	0
0.3915714	0.3541981	0.336
0.3065652	0.3175605	0
0.3223077	0	0
0.3517784	0.357931	0
0.3435569	0.32	0
0.3134217	0.3103423	0
0.3403125	0	0
0.3237959	0.3523711	0
0.3478947	0.3467021	0
0.2991954	0	0
0.3670588	0.355102	0
0.3311409	0.3476979	0
0.3551579	0.3491324	0
0.3272327	0	0
0.2827309	0	0
0.3369565	0.36	0
0.3368	0.3413117	0
0	0.3245484	0
0.3169231	0	0
0.3463705	0.3490266	0
0.3086771	0.3110294	0
0.3489583	0	0
0.3348795	0	0
0.3200721	0	0
0.3481191	0.3483333	0.35
0.3358467	0.3469802	0.3489741
0.3327184	0.32	0
0.3477273	0.3458621	0
0.3364848	0.3209091	0
0.36	0.3239823	0
0.3195165	0.3250811	0
0.3094948	0.3142419	0
0.2822252	0	0
0.3359016	0.3279839	0
0.3028532	0	0
0.3057373	0	0
0.3355556	0	0
0.3385161	0	0
0.307659	0	0
0.3450908	0.3115549	0
0.3457473	0	0
0.3467553	0	0
0.3431444	0.3476768	0
0.3770616	0.3310117	0
0.3424405	0	0
0.30728	0	0
0.3346234	0.3286372	0
0.335137	0	0
0.389959	0	0
0.36	0.3797241	0
0.3175429	0.32	0
0.3110789	0.3361366	0
0.3075229	0	0
0.3441989	0	0
0.319625	0	0
0.3110127	0	0
0.3464122	0	0
0.3945177	0	0
0.3739823	0.3511917	0
0.3195287	0.2743788	0
0.3140061	0.3444394	0
0.3713208	0.3524138	0
0.3095701	0.303847	0
0.3099112	0.3039301	0
0.35	0.3481818	0
0.3110037	0	0
0.321872	0.3048646	0
0.3347982	0	0
0.234198	0.316754	0
0.3575	0.3445631	0
0.3293416	0.3115854	0
0.3101724	0	0
0.33525	0	0
0.34	0.3449019	0
0.3332198	0.3423429	0
0.3535484	0.3382941	0
0.3672823	0.3888969	0
0.3432942	0.3151994	0
0.3509538	0.3304346	0
0.34	0.3458441	0
0.36	0.3663333	0
0.3434405	0.353018	0
0.3815149	0.3678921	0
0.36	0.3561111	0
0.35	0.3563158	0
0.3505425	0.3530911	0
0.3378657	0	0
0.3401744	0.3182967	0
0	0.3463507	0
0	0.3550549	0
0	0.3545128	0
0	0.3291667	0
0.2820183	0.3312453	0
0.3364865	0	0
0.3362568	0.299228	0
0.3061386	0	0
0.3012155	0	0
0.3677922	0.34	0
0.31	0	0
0.4089639	0.3675463	0
0.3204267	0	0
0.3661	0.311	0
0.3322398	0.338398	0
0.37	0.36	0
0.3349134	0	0
0.37	0.3473643	0
0.3285381	0.3381322	0
0.3365909	0.33	0
0.3294231	0.3208333	0
0.34	0.38	0
0.3388754	0.3500599	0
0.3176667	0.336875	0
0.34	0.3476364	0
0.37	0.36	0
0	0.35	0
0.3790097	0.3466368	0
0.3790097	0.3216896	0
0.3681462	0.3535639	0
0	0.34	0
0	0.3383889	0
0	0.3172549	0
0.3737052	0.38	0
0.3508802	0.3423892	0
0.3497845	0	0
0.3600271	0	0
0.3404053	0	0
0.3265705	0.3383847	0
0.3414394	0.32	0
0.3293728	0	0
0.3449669	0	0
0.3415577	0.3239305	0
0.3519961	0.3259154	0
0.342227	0.3328262	0.3398434
0.3527586	0	0
0.3493519	0	0
0.3078161	0	0
0.3050442	0	0
0.3795107	0.3229224	0
0.3131481	0	0
0.3370906	0.2951699	0
0.3128458	0.3183243	0
0.2867714	0.3163883	0
0.3248613	0.3239117	0
0.313708	0.3363275	0
0.3392072	0	0
0.3176305	0	0
0.3319048	0	0
0.3265634	0.3538482	0
0.3612233	0.34	0
0.3352734	0.1605494	0
0.336424	0.3456154	0
0.3385326	0.3021978	0
0.329349	0	0
0.3320628	0	0
0.3174269	0.3349444	0
0.3252352	0.342082	0
0.3249491	0	0
0.2555711	0	0
0.3159206	0.3207304	0
0.3660265	0.3651176	0
0.3225517	0	0
0.3082101	0	0
0.3313109	0.3382857	0
0.3091777	0.2946667	0
0.4040931	0	0
0.3145455	0	0
0.3577267	0.3453947	0
0.3473214	0.3420476	0
0.3613232	0.3481	0
0.3506529	0	0
0.3108058	0	0
0.3522193	0.33	0
0.3079917	0	0
0.3092053	0	0
0.3026575	0	0
0.3037019	0	0
0.3135477	0	0
0.3266738	0	0
0.3	0	0
0.3177405	0	0
0.3116555	0.3438186	0
0.3264727	0	0
0.3395368	0.3312418	0
0.3525328	0	0
0.3085629	0.2902424	0
0.3181818	0	0
0.3463517	0.35	0
0.3263555	0	0
0.3296045	0	0
0.3627586	0	0
0.32	0	0
0.342618	0	0
0.3304605	0	0
0.3555607	0.3331469	0
0.3125871	0	0
0.32	0	0
0.3173462	0	0
0.3051329	0	0
0.3851023	0.3852063	0
0.313607	0	0
0.3318162	0	0
0.3470456	0	0
0.3371581	0	0
0.3354286	0	0
0.3485398	0	0
0.3622977	0.36	0
0.3344	0	0
0.32	0.3117143	0
0.3338609	0.3408518	0
0.3093825	0	0
0.2972395	0.2902432	0
0.3348438	0.3334426	0
